제목,연도,나라,유형,장르,감독
돌아온 크로커다일,2010,독일,장편,가족,크리스티안 디터
로얄 페이스오프,2006,미국,장편,가족,스튜어트 M. 페퍼
마술사들,2010,네덜란드,장편,가족,요람 뤼르센
카우걸스 앤 엔젤스,2012,미국,장편,가족,티모시 암스트롱
크리스무스 이야기,2013,네덜란드,장편,가족,로렌스 블락
페라리 키 사와아리,2012,인도,장편,가족,라제쉬 마푸스카르
안녕 베일리,2019,미국,장편,가족,게일 맨쿠소
포춘쿠키 조작단,2016,독일,장편,가족,노베르트 레흐너
퍼피 위드 러브,2019,미국,장편,가족,마이크 거트
스톰 보이,2019,호주,장편,가족,숀 시트
엄마를 위한 하루,2015,인도,장편,가족,안줄리 슈클라
금붕어,2017,그리스,단편,가족,요르고스 안헬풀로스
곰 세 마리의 크리스마스,2019,미국,장편,가족,윌리엄 버틀러
행복한 선물,2021,한국,장편,가족,이귀덕
히치하이크,2017,한국,장편,가족,정희재
헤이는,2017,한국,장편,가족,최용석
어부바,2021,한국,장편,가족,최종학
마지막 레슨,2015,프랑스,장편,가족,파스칼 포자두
해피 해피 레스토랑,2018,일본,장편,가족,후카가와 요시히로
검은 땅의 소녀와,2007,한국,장편,가족,전수일
기적의 피아노,2013,미국,장편,가족,드미트리어스 나바로
난장이가 쏘아올린 작은 공,1981,한국,장편,가족,이원세
달려라 만석아,1979,한국,장편,가족,김수용
레터스 투 갓,2010,미국,장편,가족,데이빗 닉슨
리바이어던,2014,러시아,장편,가족,안드레이 즈비아긴체프
미국에서 온 손자,2012,중국,장편,가족,취 장타오
빨간 풍선,2007,프랑스,장편,가족,허우 샤오시엔
빨주노초파남보,1979,한국,장편,가족,김수용
삐에로와 국화,1982,한국,장편,가족,김수용
사일런트 하트,2014,덴마크,장편,가족,빌 어거스트
산책,2000,한국,장편,가족,이정국
아들의 방,2001,이탈리아,장편,가족,난니 모레티
어딘가에 엄마가,1978,한국,장편,가족,정회철
어머니는 죽지 않는다,2007,한국,장편,가족,하명중
엄마의 언어,2025,한국,장편,가족,황철민
열세살 수아,2007,한국,장편,가족,김희정
우리에게 축배를,1978,한국,장편,가족,김성수
장남,1985,한국,장편,가족,이두용
카를라와 요나스,2010,덴마크,장편,가족,샤롯 사쉬 보스트룹
파스샬라,2010,인도,장편,가족,밀린드 우케이
현기증,2014,한국,장편,가족,이돈구
그레이 락,2024,한국,장편,가족,곽새미
민들레,2024,한국,장편,가족,김문옥
통잠,2024,한국,장편,가족,김솔해 이도진
세하별,2024,한국,장편,가족,김우석
가을이야기,2018,한국,장편,가족,김윤식
홈,2018,한국,장편,가족,김종우
나는보리,2018,한국,장편,가족,김진유
조금씩  천천히 안녕,2019,일본,장편,가족,나카노 료타
행복 목욕탕,2016,일본,장편,가족,나카노 료타
달콤한 만두,2016,벨기에,단편,가족,라이 킨 창
킹 리차드,2022,미국,장편,가족,레이날도 마르쿠스 그린
이공삼칠,2022,한국,장편,가족,모홍진
..,2019,한국,장편,가족,문숙희
구르는 수레바퀴,2019,한국,장편,가족,문정윤
시밀의 가정통신문,2015,미국,단편,가족,미르시니 아리스티두
축복의 집,2019,한국,장편,가족,박희권
쫑마리,2024,한국,장편,가족,송경식
하나와 미소시루,2015,일본,장편,가족,아쿠네 토모아키
라이스보이 슬립스,2022,캐나다,장편,가족,앤소니 심
그들이 진심으로 엮을 때,2017,일본,장편,가족,오기가미 나오코
래시 컴 홈,2020,독일,장편,가족,올더디센 하노
패밀리 매뉴얼,2018,일본,단편,가족,우치다 에이지
아빠가 돌아왔다,2015,한국,장편,가족,윤여창
가족  부드러운 식빵같은...,2021,한국,장편,가족,이근배
세상 참 예쁜 오드리,2022,한국,장편,가족,이영국
아메리칸 패스토럴,2016,미국,장편,가족,이완 맥그리거
쇼우 미 유어 러브,2016,홍콩,장편,가족,이용창
가족이 되기까지,2018,프랑스,장편,가족,잔 에리
코리안타임,2023,한국,장편,가족,전성빈
투 하트,2023,한국,장편,가족,정유신
언니 유정,2022,한국,장편,가족,정해일
나와 언니와 셀린 디온,2019,프랑스,장편,가족,제랄딘 나카슈
나는 갱년기다,2024,한국,장편,가족,조연진
내 어깨 위 고양이  밥 2,2020,영국,장편,가족,찰스 마틴 스미스
계춘할망,2016,한국,장편,가족,창
아들에게 가는 길,2016,한국,장편,가족,최낙권
수상한 법정,2019,한국,장편,가족,최종학
아이아이 가사: 다시 만난 그날,2018,일본,장편,가족,타쿠마 타카유키
엄마없는 하늘아래,2017,한국,장편,가족,한명구
담쟁이,2020,한국,장편,가족,한제이
엄마는 권투선수,2022,한국,장편,가족,홍두표
살렘스 롯,2024,미국,장편,공포(호러),게리 도버먼
헬 페스트,2018,미국,장편,공포(호러),그레고리 플로킨
하바나 다크니스,2018,미국,장편,공포(호러),기예르모 이반
인해비턴트,2017,멕시코,장편,공포(호러),길예르모 아모에도
악한 사마리아인,2023,한국,장편,공포(호러),김요한
창혼: 구원의 밤,2023,한국,장편,공포(호러),김현준
귀담백경,2015,일본,장편,공포(호러),나카무라 요시히로 시라이시 코지 아사토 마리 오하타 하지메 이와사와 히로키 나이토 에이스케
온다,2018,일본,장편,공포(호러),나카시마 테츠야
금지된 장난,2023,일본,장편,공포(호러),나카타 히데오
사고물건 무서운 방,2020,일본,장편,공포(호러),나카타 히데오
폐교,2019,한국,장편,공포(호러),노홍식
차원괴물 엑시엄,2019,미국,장편,공포(호러),니콜라스 우즈
사경,2018,태국,장편,공포(호러),니티밧 촐바니치시리 파왓 파낭카시리 탐마눈 수쿨분타놈
드라큘라 2021,2021,아르헨티나,장편,공포(호러),다니엘 델 라 베가
기묘한 이야기들2,2017,미국,장편,공포(호러),다니엘 B. 이스크
테일즈 오브 할로윈,2015,미국,장편,공포(호러),대런 린 보우즈만
늑대와 함께 춤을,2016,미국,장편,공포(호러),댄 골든
나이트메어 비긴즈,2017,영국,장편,공포(호러),댄 알렌
데스 룰렛,2017,미국,장편,공포(호러),더그 볼링거
나이트메어 : 야간근무자,2018,브라질,장편,공포(호러),데니슨 라말호
프랑켄슈타인 VS 미라,2015,미국,장편,공포(호러),데미안 레온
클린턴로드 : 죽음의 호수,2015,미국,장편,공포(호러),데숀 하디
애나벨 : 인형의 주인,2017,미국,장편,공포(호러),데이비드 F. 샌드버그
라이트 아웃,2015,미국,장편,공포(호러),데이비드 F. 샌드버그
엑소시스트: 믿는 자,2023,미국,장편,공포(호러),데이빗 고든 그린
할로윈 엔드,2022,미국,장편,공포(호러),데이빗 고든 그린
할로윈 킬즈,2020,미국,장편,공포(호러),데이빗 고든 그린
할로윈,2018,미국,장편,공포(호러),데이빗 고든 그린
더 하이브,2015,미국,장편,공포(호러),데이빗 야로베스키
더 큐어드,2017,아일랜드,장편,공포(호러),데이빗 프레인
무서운 이야기들: 겟아웃,2018,미국,장편,공포(호러),도모닉 스미스
워킹 데드 나잇,2018,프랑스,장편,공포(호러),도미니크 로쉐
사우스바운드-죽음의 고속도로,2015,미국,장편,공포(호러),라디오 사일런스 록산 벤자민 데이빗 브룩크너 패트릭 호배스
사탄의 인형,2019,미국,장편,공포(호러),라스 클리브버그
폴라로이드,2019,미국,장편,공포(호러),라스 클리브버그
블랙번: 죽음의 숲,2015,캐나다,장편,공포(호러),라우로 차트랜드
마마2,2017,미국,장편,공포(호러),래리 리긴스
하나님 나라에는 악마가 살고 있다,2015,캐나다,장편,공포(호러),래리 켄트
레드 아일랜드,2018,캐나다,장편,공포(호러),럭스
스트레인저스: 챕터1,2024,미국,장편,공포(호러),레니 할린
오버로드: 11구역,2017,캐나다,장편,공포(호러),레오 셔먼
노스페라투,2024,미국,장편,공포(호러),로버트 에거스
피어 클리닉,2015,미국,장편,공포(호러),로버트 홀
헬버스,2017,미국,장편,공포(호러),롤프 카네프스키
부기맨,2022,미국,장편,공포(호러),롭 새비지
호스트: 접속금지,2020,영국,장편,공포(호러),롭 새비지
스크림: 허수아비의 저주,2018,영국,장편,공포(호러),루이자 워렌
크로우 라이징,2018,영국,장편,공포(호러),루이자 워렌
에피쿠엔 잔혹사,2017,아르헨티나,장편,공포(호러),루치아노 오네티 니콜라스 오네티
새벽의 저주: 악령의 부활,2016,미국,장편,공포(호러),르네 페르즈
인비저블맨,2020,미국,장편,공포(호러),리 워넬
이블 데드 라이즈,2022,미국,장편,공포(호러),리 크로닌
이스케이프 룸: 공포의 퍼즐,2020,미국,장편,공포(호러),리즈 고든
아메리칸 폴터가이스트,2015,미국,장편,공포(호러),마이크 루트코스키
위자: 저주의 시작,2016,미국,장편,공포(호러),마이크 플래너건
더 톨: 함정,2020,미국,장편,공포(호러),마이클 네이더
하일슈타텐,2018,독일,장편,공포(호러),마이클 데이빗 파테
이매큘레이트,2024,미국,장편,공포(호러),마이클 모한
더 넌 2,2023,미국,장편,공포(호러),마이클 차베즈
요로나의 저주,2019,미국,장편,공포(호러),마이클 차베즈
데모닉 : 죽은 자의 부활,2017,미국,장편,공포(호러),마이클 크럼
더 하우스 - 인형의 집,2017,미국,장편,공포(호러),마이클 크럼
엑소시즘: 죽음의 소리,2015,미국,장편,공포(호러),마커스 니스펠
나이트 오브 워킹데드,2017,미국,장편,공포(호러),마크 영
블러드 스크린,2020,우루과이,장편,공포(호러),막시밀리아노 콘텐티
블러드 뱀파이어,2016,미국,장편,공포(호러),매튜 아바야
추파카브라: 죽음의 습격,2016,미국,장편,공포(호러),매트 맥윌리엄스
윌리 빙엄의 경우,2015,호주,장편,공포(호러),맷 리차드
스크림6,2023,미국,장편,공포(호러),맷 베티넬리-올핀
애비게일,2024,미국,장편,공포(호러),맷 베티넬리-올핀 타일러 질렛
한밤의 황당한 저주,2017,미국,장편,공포(호러),미첼 알티에리
컨저링 하우스,2018,미국,장편,공포(호러),미키 맥그래거
노조키메,2016,일본,장편,공포(호러),미키 코이치로
사이코패스,2017,미국,장편,공포(호러),미키 키팅
나이트메어 시네마,2018,미국,장편,공포(호러),믹 개리스 조 단테 기타무라 류헤이 데이빗 슬레이드
너클본,2016,미국,장편,공포(호러),밋치 윌슨
검은손,2015,한국,장편,공포(호러),박재식
4분 44초,2022,한국,장편,공포(호러),박종균
아파트먼트(가제),2019,한국,장편,공포(호러),방재성
사이렌 송,2016,미국,장편,공포(호러),베네딕트 마트
위자 하우스,2018,미국,장편,공포(호러),벤 드마리
헨젤과 그레텔 2,2015,미국,장편,공포(호러),벤 드마리
룸 203,2022,일본,장편,공포(호러),벤 재거
땅속에,2021,영국,장편,공포(호러),벤 휘틀리
라이트하우스 키퍼,2016,미국,장편,공포(호러),벤자민 쿠퍼
나이트 스윔,2024,미국,장편,공포(호러),브라이스 맥과이어
다크 앤드 위키드,2020,미국,장편,공포(호러),브라이언 버티노
더 몬스터,2016,미국,장편,공포(호러),브라이언 버티노
인페르날,2015,미국,장편,공포(호러),브라이언 코인
사스콰치: 거인 괴물,2018,미국,장편,공포(호러),브래드 더글라스
헬 카운트,2022,미국,장편,공포(호러),브렌든 멀다우니
프랑켄슈타인의 신부(가제),2019,미국,장편,공포(호러),빌 콘돈
공포체험라디오 4DX,2020,한국,장편,공포(호러),서정희
